Sep 05, 2023 5:17:21 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Sep 05, 2023 5:17:22 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Sep 05, 2023 5:17:22 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /xipki-cli/lock
Sep 05, 2023 5:17:22 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Sep 05, 2023 5:17:22 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2023-09-05T17:17:31,205 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki.commons/security/6.3.0
2023-09-05T17:17:31,206 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki.commons/security-shell/6.3.0
2023-09-05T17:17:31,206 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki.commons/shell-base/6.3.0
2023-09-05T17:17:31,207 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki.commons/util/6.3.0
2023-09-05T17:17:31,207 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki.gateway/cmp-client/6.3.0
2023-09-05T17:17:31,208 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki.gateway/scep-client/6.3.0
2023-09-05T17:17:31,209 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki/ipkcs11wrapper/1.0.5
2023-09-05T17:17:31,210 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki/ocsp-client/6.3.0
2023-09-05T17:17:31,210 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki.shell/cmp-client-shell/6.3.0
2023-09-05T17:17:31,211 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.xipki.shell/ocsp-client-shell/6.3.0
